device_name,compute_capability,dtype,q_heads,kv_heads,head_dim,batch_size,seq_len,page_size,num_splits,sm_margin,contiguous_median_us,paged_identity_median_us,paged_shuffled_median_us,paged_identity_overhead_pct,paged_shuffled_overhead_pct,contiguous_tokens_per_sec,paged_identity_tokens_per_sec,paged_shuffled_tokens_per_sec,all_layouts_present,identity_correctness_passed,shuffled_correctness_passed,identity_max_abs_diff,shuffled_max_abs_diff
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,2048,16,0,0,77.60000228881836,79.42400127649307,79.6160027384758,2.3505140900460297,2.597938647158937,51546.39023221232,50362.609988321885,50241.155828172865,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,2048,128,0,0,77.56800204515457,79.45600152015686,79.23199981451035,2.433992658342854,2.1452115891641865,51567.65540604597,50342.32686608647,50484.65278377904,True,True,True,0.0009765625,0.0009765625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,4096,16,0,0,86.43200248479843,86.40000224113464,86.56000345945358,-0.03702360554403983,0.1480944221761593,46279.154537736365,46296.295095413996,46210.719040390046,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,4096,128,0,0,86.65599673986435,85.82399785518646,85.67999675869942,-0.9601169174425328,-1.1262924874026026,46159.5290630346,46607.010859006194,46685.34256910864,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,8192,16,0,0,108.2879975438118,108.03200304508209,108.38399827480316,-0.23640154452586604,0.08865315932407025,36938.53511679959,37026.06530706264,36905.816944104285,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,8192,128,0,0,107.93600231409073,107.58399963378906,107.51999914646149,-0.3261216579777959,-0.38541650488285173,37058.99713017083,37180.249977838845,37202.38124770894,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,16384,16,0,0,152.8320014476776,152.0320028066635,153.1199961900711,-0.5234496921039056,0.1884387691488021,26172.529065317576,26310.24998787085,26123.302635370463,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,16384,128,0,0,152.67199277877808,151.90400183200836,152.79999375343323,-0.5030332890738731,0.08384050821987898,26199.95931929706,26332.42015851318,26178.011541378906,True,True,True,0.000244140625,0.000244140625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,32768,16,0,0,239.9040013551712,239.1359955072403,241.5360063314438,-0.320130487025061,0.6802741792774292,16673.33590688265,16726.883761331916,16560.677891275,True,True,True,0.0001220703125,0.0001220703125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,4,32768,128,0,0,240.12799561023712,237.56800591945648,239.68000710010529,-1.0660938072942883,-0.18656238269650904,16657.782820511213,16837.284063225812,16688.918063697114,True,True,True,0.0001220703125,0.0001220703125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,8,1024,16,0,0,77.31200009584427,79.71200346946716,79.3600007891655,3.104308995560312,2.649007516016022,103476.82106377199,100361.29631422844,100806.45061047161,True,True,True,0.0009765625,0.0009765625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,8,1024,128,0,0,77.27999985218048,79.6160027384758,79.32800054550171,3.0227780677582583,2.650104421892596,103519.66893507024,100482.31165634573,100847.11507901027,True,True,True,0.0009765625,0.0009765625
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,8,2048,16,0,0,85.9839990735054,86.19200065732002,85.9999991953373,0.24190731537947485,0.018608255029195497,93040.56668916988,92816.0379036356,93023.2566843296,True,True,True,0.00048828125,0.00048828125
NVIDIA H100 80GB HBM3,9.0,bf16,32,8,128,8,2048,128,0,0,85.95199882984161,85.79199761152267,85.69599688053131,-0.18615182950625364,-0.2978429272100014,93075.20603258484,93248.79036183585,93353.25209125919,True,True,True,0.00048828125,0.00048828125
